p_id_retained,player,team,b1_norm,b2_norm,b3_norm,b4_norm,b5_norm
4,J. Ahanmisi,ADU,0.04306053312674847,0.3218320601897735,0.16374848268340764,0.35573518408179544,0.11562373991827495
9,S. Manganti,ADU,0.2703686561991002,0.15317338855027288,0.13842425048793264,0.1898711382681637,0.2481625664945305
12,P. Sarr,ADU,0.4861852715510484,2.6722870133455045e-17,0.264210960352096,0.2394044268619848,0.01019934123487084
33,J. Lastimosa,ADU,0.2717936593877339,0.3892405805150895,0.02500564650963633,0.14623102307303096,0.16772909051450932
35,J. Espeleta,ADU,0.18992674490908396,0.1738751581031771,0.4310403996434983,2.5096840245672962e-15,0.20515769734423808
38,S. Camacho,ADU,0.7586008666334338,2.102744828458282e-18,0.20382546224637368,2.0970154669434708e-07,0.03757346141864603
56,J. Pingoy,ADU,0.01257519934983654,0.829477010906051,0.06551452892724281,2.7062838827246946e-08,0.09243323375403084
64,C. Catapusan,ADU,0.4027085112084491,0.08044975128190235,0.05525228990790487,0.4426972892546069,0.01889215834713679
68,V. Magbuhos,ADU,0.9162915265680064,0.01449700115983939,0.06921147227215196,2.1865675363022157e-15,1.6902767031668845e-67
71,E. Mojica,ADU,0.08277233882325691,0.18729986974139293,4.523096757571578e-36,0.15764919228193824,0.5722785991534118
